dept,number,dept 2,number 2,dept 3,number 3,dept 4,number 4,dept 5,number 5,course name,credits,evals,freshman,sophomore,junior,senior,year 5,masters,other,phd
EARTH,2,,,,,,,,,Climate and Society,3,99,,,,,,,,
EARTHSYS,100A,GEOLSCI,6,,,,,,,Data Science for Geoscience,3,0,,,,,,,,
ENERGY,101,EARTHSYS,101,,,,,,,Energy and the Environment,3,46,39,18,13,19,0,11,0,0
BIO,105A,EARTHSYS,105A,,,,,,,Ecology and Natural History of Jasper Ridge Biological Preserve,4,45,26,35,24,10,0,0,0,5
EARTHSYS,106B,EARTHSYS,206B,GEOPHYS,106,GEOPHYS,206,,,Sustainable and Equitable Water Management,4,0,,,,,,,,
ESS,111,BIO,117,EARTHSYS,111,EARTHSYS,217,,,Biology and Global Change,4,104,2,20,41,29,1,4,3,0
ESS,223,EARTHSYS,123A,EARTHSYS,223,ESS,123,,,Biosphere-Atmosphere Interactions,4,4,,,,,,,,
EARTHSYS,141,EARTHSYS,241,ESS,141,ESS,241,GEOPHYS,141,Remote Sensing of the Oceans,4,26,4,8,23,19,4,23,0,19
EARTHSYS,146B,CEE,162I,CEE,262I,ESS,246B,,,"Atmosphere, Ocean, and Climate Dynamics: the Ocean Circulation",3,41,,,,,,,,
EARTHSYS,164,CEE,162D,CEE,262D,ESS,148,,,Introduction to Physical Oceanography,4,28,4,10,16,6,6,50,0,8
EARTHSYS,177C,COMM,177C,COMM,277C,EARTHSYS,277C,,,Specialized Writing and Reporting: Health and Science Journalism,5,31,,,,,,,,
EARTHSYS,183,ESS,185,,,,,,,Adaptation,3,0,,,,,,,,
EARTHSYS,185,,,,,,,,,Feeding Nine Billion,5,93,21,19,15,26,2,15,0,2
EARTHSYS,255,BIO,180,ESS,255,GEOLSCI,233A,,,Microbial Physiology,3,46,,,,,,,,
ENERGY,121,ENERGY,221,,,,,,,Fundamentals of Multiphase Flow,3,55,20,0,0,0,0,56,0,24
ESS,158,EARTHSYS,158,EARTHSYS,258,ESS,258,,,Geomicrobiology,3,14,,,,,,,,
GEOLSCI,42,EARTH,42,,,,,,,Moving and Shaking in the Bay Area,4,17,,,,,,,,
GEOLSCI,45,,,,,,,,,Developing and maintaining a habitable Earth: A global challenge?,3,0,,,,,,,,
GEOLSCI,136,GEOLSCI,236,BIO,136,BIO,236,,,Macroevolution,3,0,,,,,,,,
GEOPHYS,128,GEOPHYS,228,,,,,,,Modeling Earth,4,0,,,,,,,,
GEOPHYS,181,GEOPHYS,203,,,,,,,Fluids and Flow in the Earth: Computational Methods,3,9,,,,,,,,
AA,102,,,,,,,,,Introduction to Applied Aerodynamics,3,8,,,,,,,,
AA,113,,,,,,,,,Aerospace Computational Science,3,0,,,,,,,,
AA,120Q,,,,,,,,,Building Trust in Autonomy,3,21,,,,,,,,
AA,146A,,,,,,,,,Aircraft Design,4,0,,,,,,,,
AA,174B,AA,274B,CS,237B,EE,260B,,,Principles of Robot Autonomy II,4,0,,,,,,,,
BIOE,44,,,,,,,,,Fundamentals for Engineering Biology Lab,4,139,2,77,15,4,2,0,0,0
BIOE,122,EMED,122,EMED,222,PUBLPOL,122,PUBLPOL,222,BioSecurity and Pandemic Resilience,5,257,12,40,30,18,0,0,0,0
BIOE,150,CHEMENG,150,CHEMENG,250,,,,,Biochemical Engineering,3,0,0,0,11,83,3,3,0,0
BIOE,177,,,,,,,,,Inventing the Future,4,0,4,34,23,31,8,0,0,0
CHEMENG,20,ENGR,20,,,,,,,Introduction to Chemical Engineering,4,77,77,23,0,0,0,0,0,0
CHEMENG,110B,,,,,,,,,Multi-Component and Multi-Phase Thermodynamics,3,0,0,5,93,0,0,0,0,2
CHEMENG,120A,,,,,,,,,Fluid Mechanics,4,58,0,26,72,0,0,0,0,2
CHEMENG,183,CHEM,183,CHEMENG,283,,,,,Biochemistry II,3,57,0,0,39,47,2,7,0,5
CHEMENG,185A,,,,,,,,,Chemical Engineering Laboratory A,5,49,0,0,5,92,3,0,0,0
CEE,32G,ARTHIST,142,,,,,,,Architecture Since 1900,4,8,,,,,,,,
CEE,70,ENGR,90,,,,,,,Environmental Science and Technology,3,255,8,22,27,29,6,0,8,0
CEE,101A,,,,,,,,,Mechanics of Materials,4,25,0,24,62,14,0,0,0,0
CEE,101B,,,,,,,,,Mechanics of Fluids,4,67,5,23,35,9,5,23,0,0
CEE,102A,,,,,,,,,"Legal / Ethical Principles in Design, Construction, Project Delivery",3,0,0,25,50,15,10,0,0,0
CEE,107R,CEE,207R,,,,,,,Extreme Energy Efficiency,3,17,,,,,,,,
CEE,134B,CEE,234B,,,,,,,Intermediate Arch Studio,5,32,0,13,38,37,0,6,0,6
CEE,136,PUBLPOL,130,CEE,236,PUBLPOL,230,URBANST,130,"Planning Calif: the Intersection of Climate, Land Use, Transportation & the Economy",3,0,,,,,,,,
CEE,156,CEE,256,,,,,,,Building Systems Design & Analysis,4,66,1,4,16,14,0,65,0,0
CEE,166B,CEE,266B,,,,,,,Water Resources and Hazards,3,61,5,0,0,8,3,79,0,5
CEE,173S,CEE,273S,,,,,,,Electricity Economics,3,18,,,,,,,,
CEE,174A,,,,,,,,,Providing Safe Water for the Developing and Developed World ,3,52,9,4,9,17,4,53,0,4
CEE,176A,,,,,,,,,Energy Efficient Buildings,4,142,6,12,11,10,1,60,0,0
CEE,182,,,,,,,,,Structural Design,4,19,4,4,15,54,0,23,0,0
CME,102,ENGR,155A,,,,,,,Ordinary Differential Equations for Engineers,5,121,75,16,5,3,0,1,0,0
CME,106,ENGR,155C,,,,,,,Introduction to Probability and Statistics for Engineers,4,366,8,33,15,10,2,28,1,3
CME,108,MATH,114,,,,,,,Introduction to Scientific Computing,3,109,3,20,17,18,2,32,3,5
CME,187,BIO,187,,,,,,,Mathematical Population Biology,3,0,,,,,,,,
CS,103,,,,,,,,,Mathematical Foundations of Computing,5,725,16,52,15,4,1,6,4,2
CS,106A,,,,,,,,,Programming Methodology,5,1571,52,15,6,4,0,11,7,5
CS,106B,,,,,,,,,Programming Abstractions,5,1245,42,20,7,3,0,17,4,7
CS,107,,,,,,,,,Computer Organization and Systems,5,609,29,34,10,2,1,14,5,5
CS,107E,,,,,,,,,Computer Systems from the Ground Up,5,180,61,32,0,0,0,7,0,0
CS,108,,,,,,,,,Object-Oriented Systems Design,4,338,2,27,26,11,2,21,8,3
CS,109,,,,,,,,,Introduction to Probability for Computer Scientists,5,624,22,42,17,4,1,7,6,1
CS,110,,,,,,,,,Principles of Computer Systems,5,538,8,43,18,8,1,17,3,2
CS,129,,,,,,,,,Applied Machine Learning,4,37,,,,,,,,
CS,140,,,,,,,,,Operating Systems and Systems Programming,4,285,1,19,23,7,0,36,8,6
CS,142,,,,,,,,,Web Applications,3,162,13,27,17,9,1,29,1,3
CS,147,,,,,,,,,Introduction to Human-Computer Interaction Design,5,153,3,23,27,21,1,24,0,1
CS,152,,,,,,,,,Trust and Safety Engineering,3,7,,,,,,,,
CS,161,,,,,,,,,Design and Analysis of Algorithms,5,384,4,22,23,10,2,25,6,8
CS,182,COMM,180,ETHICSOC,182,PHIL,82,POLISCI,182,"Ethics, Public Policy, and Technological Change",5,0,,,,,,,,
CS,182W,,,,,,,,,"Ethics, Public Policy, and Technological Change (WIM)",5,0,,,,,,,,
CS,187,,,,,,,,,Design for Impact in Social Systems,4,0,,,,,,,,
EE,101A,,,,,,,,,Circuits I,4,178,12,71,7,3,0,2,5,0
EE,102B,,,,,,,,,Signal Processing and Linear Systems I,4,179,11,66,14,2,1,3,0,3
EE,108,,,,,,,,,Digital System Design,4,148,1,48,41,8,0,1,0,1
EE,124,,,,,,,,,Introduction to Neuroelectrical Engineering,3,66,,,,,,,,
EE,168,,,,,,,,,Introduction to Digital Image Processing,4,36,0,6,58,24,0,6,0,6
ENGR,14,,,,,,,,,Intro to Solid Mechanics,3,204,13,65,18,4,0,0,0,0
ENGR,15,,,,,,,,,Dynamics,3,271,5,45,40,10,0,0,0,0
ENGR,40M,,,,,,,,,An Intro to Making: What is EE,5,319,17,36,28,14,4,0,0,1
ENGR,105,,,,,,,,,Feedback Control Design,3,117,3,3,21,15,3,49,3,3
ENGR,108,,,,,,,,,Introduction to Matrix Methods,5,0,6,46,42,6,0,0,0,0
ENGR,148,ENGR,248,,,,,,,Principled Entrepreneurial Decisions,3,33,,,,,,,,
MS&E,125,,,,,,,,,Introduction to Applied Statistics,4,165,,,,,,,,
MS&E,135,,,,,,,,,Networks,3,159,,,,,,,,
MS&E,140,,,,,,,,,Accounting for Managers and Entrepreneurs,4,237,8,14,12,10,1,43,9,3
MS&E,146,MS&E,249,,,,,,,Corporate Financial Management,4,56,0,6,23,39,3,26,3,0
MS&E,175,,,,,,,,,"Innovation, Creativity, and Change",4,71,2,22,42,28,2,2,2,0
MS&E,180,,,,,,,,,Organizations: Theory and Management,4,291,0,7,49,43,1,0,0,0
MATSCI,143,,,,,,,,,Materials Structure and Characterization,4,11,8,38,42,8,0,0,0,4
MATSCI,145,,,,,,,,,Kinetics of Materials Synthesis,4,13,,,,,,,,
MATSCI,152,,,,,,,,,Electronic Materials Engineering,4,23,,,,,,,,
MATSCI,192,MATSCI,202,,,,,,,Materials Chemistry,4,90,14,1,4,4,1,37,0,39
MATSCI,196,MATSCI,206,,,,,,,Defects in Crystalline Solids,4,78,14,2,2,4,1,41,0,36
MATSCI,197,MATSCI,207,,,,,,,Rate Processes in Materials,4,71,32,0,11,0,0,16,0,41
ME,1,,,,,,,,,Introduction to Mechanical Engineering,3,92,,,,,,,,
ME,30,,,,,,,,,Engineering Thermodynamics,3,165,,,,,,,,
